registry_name,registry_version,feature_view_name,feature_view_version,entity_keys,source_path,source_table,source_exists,column_name,data_type,feature_role,transformation,used_for,created_by,description
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,user_id,int64,entity_key,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,total_events,int64,feature,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,unique_items,int64,feature,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,view_events,double,feature,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,addtocart_events,double,feature,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,transaction_events,double,feature,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,total_interaction_score,"decimal128(38, 1)",feature,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,avg_interaction_weight,double,feature,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,first_event_timestamp_ms,int64,metadata,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,last_event_timestamp_ms,int64,metadata,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,first_event_datetime,"timestamp[us, tz=UTC]",metadata,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,last_event_datetime,"timestamp[us, tz=UTC]",metadata,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,active_days,int64,feature,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,addtocart_event_rate,double,feature,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,transaction_event_rate,double,feature,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_user_features,v1,"[""user_id""]",data/features/source=retailrocket/user_features.parquet,features.retailrocket_user_features,True,events_per_unique_item,double,feature,"Aggregates Retailrocket user interaction history from mart.retailrocket_user_features and derives activity, conversion, and intensity features.","training, inference, profiling",sql/retailrocket_features.sql,User-level behavioral features for Retailrocket visitors.
retailrocket_recommendation_feature_registry,v1,retailrocket_item_features,v1,"[""item_id""]",data/features/source=retailrocket/item_features.parquet,features.retailrocket_item_features,True,item_id,int64,entity_key,Aggregates Retailrocket item interactions and joins latest category and availability metadata from mart.retailrocket_item_features.,"training, inference, profiling, candidate filtering",sql/retailrocket_features.sql,"Item-level popularity, conversion, and metadata features for candidate ranking."
retailrocket_recommendation_feature_registry,v1,retailrocket_item_features,v1,"[""item_id""]",data/features/source=retailrocket/item_features.parquet,features.retailrocket_item_features,True,total_events,int64,feature,Aggregates Retailrocket item interactions and joins latest category and availability metadata from mart.retailrocket_item_features.,"training, inference, profiling, candidate filtering",sql/retailrocket_features.sql,"Item-level popularity, conversion, and metadata features for candidate ranking."
retailrocket_recommendation_feature_registry,v1,retailrocket_item_features,v1,"[""item_id""]",data/features/source=retailrocket/item_features.parquet,features.retailrocket_item_features,True,unique_users,int64,feature,Aggregates Retailrocket item interactions and joins latest category and availability metadata from mart.retailrocket_item_features.,"training, inference, profiling, candidate filtering",sql/retailrocket_features.sql,"Item-level popularity, conversion, and metadata features for candidate ranking."
retailrocket_recommendation_feature_registry,v1,retailrocket_item_features,v1,"[""item_id""]",data/features/source=retailrocket/item_features.parquet,features.retailrocket_item_features,True,view_events,double,feature,Aggregates Retailrocket item interactions and joins latest category and availability metadata from mart.retailrocket_item_features.,"training, inference, profiling, candidate filtering",sql/retailrocket_features.sql,"Item-level popularity, conversion, and metadata features for candidate ranking."
retailrocket_recommendation_feature_registry,v1,retailrocket_item_features,v1,"[""item_id""]",data/features/source=retailrocket/item_features.parquet,features.retailrocket_item_features,True,addtocart_events,double,feature,Aggregates Retailrocket item interactions and joins latest category and availability metadata from mart.retailrocket_item_features.,"training, inference, profiling, candidate filtering",sql/retailrocket_features.sql,"Item-level popularity, conversion, and metadata features for candidate ranking."
retailrocket_recommendation_feature_registry,v1,retailrocket_item_features,v1,"[""item_id""]",data/features/source=retailrocket/item_features.parquet,features.retailrocket_item_features,True,transaction_events,double,feature,Aggregates Retailrocket item interactions and joins latest category and availability metadata from mart.retailrocket_item_features.,"training, inference, profiling, candidate filtering",sql/retailrocket_features.sql,"Item-level popularity, conversion, and metadata features for candidate ranking."
retailrocket_recommendation_feature_registry,v1,retailrocket_item_features,v1,"[""item_id""]",data/features/source=retailrocket/item_features.parquet,features.retailrocket_item_features,True,total_interaction_score,double,feature,Aggregates Retailrocket item interactions and joins latest category and availability metadata from mart.retailrocket_item_features.,"training, inference, profiling, candidate filtering",sql/retailrocket_features.sql,"Item-level popularity, conversion, and metadata features for candidate ranking."
