user_id,recommendation_rank,item_id,title,category,brand,popularity_score,item_interaction_count,item_total_quantity
2,1,18,Cat Food,groceries,unknown,5.21298712154586,6,16.0
2,2,170,unknown,unknown,unknown,5.138526483086796,4,15.0
2,3,132,unknown,unknown,unknown,5.11967828186554,5,14.0
2,4,97,Rolex Datejust,mens-watches,Rolex,4.8815744517242505,4,12.0
2,5,14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,4.535262214294743,4,17.0
3,1,18,Cat Food,groceries,unknown,5.21298712154586,6,16.0
3,2,170,unknown,unknown,unknown,5.138526483086796,4,15.0
3,3,132,unknown,unknown,unknown,5.11967828186554,5,14.0
3,4,97,Rolex Datejust,mens-watches,Rolex,4.8815744517242505,4,12.0
3,5,14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,4.535262214294743,4,17.0
4,1,18,Cat Food,groceries,unknown,5.21298712154586,6,16.0
4,2,170,unknown,unknown,unknown,5.138526483086796,4,15.0
4,3,132,unknown,unknown,unknown,5.11967828186554,5,14.0
4,4,97,Rolex Datejust,mens-watches,Rolex,4.8815744517242505,4,12.0
4,5,14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,4.535262214294743,4,17.0
5,1,18,Cat Food,groceries,unknown,5.21298712154586,6,16.0
5,2,170,unknown,unknown,unknown,5.138526483086796,4,15.0
5,3,132,unknown,unknown,unknown,5.11967828186554,5,14.0
5,4,97,Rolex Datejust,mens-watches,Rolex,4.8815744517242505,4,12.0
5,5,14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,4.535262214294743,4,17.0
6,1,18,Cat Food,groceries,unknown,5.21298712154586,6,16.0
6,2,170,unknown,unknown,unknown,5.138526483086796,4,15.0
6,3,132,unknown,unknown,unknown,5.11967828186554,5,14.0
6,4,97,Rolex Datejust,mens-watches,Rolex,4.8815744517242505,4,12.0
6,5,14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,4.535262214294743,4,17.0
