user_id,recommendation_rank,item_id,popularity_score,train_event_count,train_unique_users,train_view_events,train_addtocart_events,train_transaction_events,category_id,parent_category_id,is_available,has_category_metadata,has_availability_metadata,was_seen_before,recommendation_score,model_key,model_name,model_type,content_score,category_score,parent_category_score,metadata_score,conversion_score,popularity_prior
1150086,1,369447,5.660460112932376,1209,611,1098.0,80.0,31.0,48.0,500.0,0.0,1,1,False,5.660460112932376,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
1150086,2,133907,5.265934512350809,899,700,861.0,28.0,10.0,,,1.0,0,1,False,5.265934512350809,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
1150086,3,187946,5.2341128789169185,2824,2393,2822.0,2.0,0.0,1393.0,1383.0,0.0,1,1,False,5.2341128789169185,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
1150086,4,5411,5.199692724518309,2174,1936,2165.0,9.0,0.0,789.0,14.0,,1,0,False,5.199692724518309,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
1150086,5,455183,5.199479106940207,809,590,763.0,37.0,9.0,1051.0,955.0,1.0,1,1,False,5.199479106940207,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
530559,1,7943,5.828361420585165,1371,770,1247.0,83.0,41.0,,,,0,0,False,5.828361420585165,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
530559,2,309778,5.727283985899297,1624,1051,1561.0,48.0,15.0,,,1.0,0,1,False,5.727283985899297,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
530559,3,369447,5.660460112932376,1209,611,1098.0,80.0,31.0,48.0,500.0,0.0,1,1,False,5.660460112932376,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
530559,4,441668,5.519826254738758,1313,983,1271.0,31.0,11.0,1263.0,1637.0,1.0,1,1,False,5.519826254738758,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
530559,5,111530,5.516118053425757,1342,853,1293.0,38.0,11.0,1625.0,1141.0,1.0,1,1,False,5.516118053425757,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
152963,1,309778,5.727283985899297,1624,1051,1561.0,48.0,15.0,,,1.0,0,1,False,5.727283985899297,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
152963,2,445351,5.6844878887076495,1011,600,884.0,84.0,43.0,,,,0,0,False,5.6844878887076495,popularity,retailrocket_popularity_recommender,event_weighted_global_popularity,,,,,,
