user_id,recommendation_rank,item_id,target_item_id,is_hit,popularity_score,train_event_count,train_unique_users,train_addtocart_events,train_transaction_events,category_id,parent_category_id,is_available
1327109,1,461686,293972,False,6.5815082441363435,2482,1190,268.0,110.0,,,1.0
1327109,2,257040,293972,False,5.865438456090703,1643,983,89.0,27.0,,,
1327109,3,7943,293972,False,5.828361420585165,1371,770,83.0,41.0,,,
1327109,4,312728,293972,False,5.795516423360273,1104,586,158.0,41.0,1098.0,897.0,
1327109,5,320130,293972,False,5.7864291529785135,1213,701,116.0,29.0,1483.0,561.0,1.0
925350,1,461686,460219,False,6.5815082441363435,2482,1190,268.0,110.0,,,1.0
925350,2,257040,460219,False,5.865438456090703,1643,983,89.0,27.0,,,
925350,3,7943,460219,False,5.828361420585165,1371,770,83.0,41.0,,,
925350,4,312728,460219,False,5.795516423360273,1104,586,158.0,41.0,1098.0,897.0,
925350,5,320130,460219,False,5.7864291529785135,1213,701,116.0,29.0,1483.0,561.0,1.0
839657,1,461686,188051,False,6.5815082441363435,2482,1190,268.0,110.0,,,1.0
839657,2,257040,188051,False,5.865438456090703,1643,983,89.0,27.0,,,
839657,3,7943,188051,False,5.828361420585165,1371,770,83.0,41.0,,,
839657,4,312728,188051,False,5.795516423360273,1104,586,158.0,41.0,1098.0,897.0,
839657,5,320130,188051,False,5.7864291529785135,1213,701,116.0,29.0,1483.0,561.0,1.0
755605,1,461686,416012,False,6.5815082441363435,2482,1190,268.0,110.0,,,1.0
755605,2,257040,416012,False,5.865438456090703,1643,983,89.0,27.0,,,
755605,3,7943,416012,False,5.828361420585165,1371,770,83.0,41.0,,,
755605,4,312728,416012,False,5.795516423360273,1104,586,158.0,41.0,1098.0,897.0,
755605,5,320130,416012,False,5.7864291529785135,1213,701,116.0,29.0,1483.0,561.0,1.0
159044,1,461686,384157,False,6.5815082441363435,2482,1190,268.0,110.0,,,1.0
159044,2,257040,384157,False,5.865438456090703,1643,983,89.0,27.0,,,
159044,3,7943,384157,False,5.828361420585165,1371,770,83.0,41.0,,,
159044,4,312728,384157,False,5.795516423360273,1104,586,158.0,41.0,1098.0,897.0,
159044,5,320130,384157,False,5.7864291529785135,1213,701,116.0,29.0,1483.0,561.0,1.0
