item_id,train_event_count,train_unique_users,train_view_events,train_addtocart_events,train_transaction_events,train_interaction_score,category_id,parent_category_id,is_available,has_category_metadata,has_availability_metadata,addtocart_rate,transaction_rate,global_content_prior_score
461686,2482,1190,2104.0,268.0,110.0,3458.0,-1,-1,1,0,1,0.10797743755036261,0.0443190975020145,8.347042625214366
187946,2824,2393,2822.0,2.0,0.0,2828.0,1393,1383,0,1,1,0.000708215297450425,0.0,7.948032678950293
5411,2174,1936,2165.0,9.0,0.0,2192.0,789,14,0,1,0,0.004139834406623735,0.0,7.6950956656212
309778,1624,1051,1561.0,48.0,15.0,1780.0,-1,-1,1,0,1,0.029556650246305417,0.009236453201970444,7.608945061614785
257040,1643,983,1527.0,89.0,27.0,1929.0,-1,-1,0,0,0,0.054169202678027994,0.016433353621424222,7.608793236859369
219512,1606,1225,1550.0,45.0,11.0,1740.0,-1,-1,1,0,1,0.028019925280199254,0.00684931506849315,7.583074217476781
320130,1213,701,1068.0,116.0,29.0,1561.0,1483,561,1,1,1,0.09563066776586975,0.023907666941467436,7.5254453312240335
7943,1371,770,1247.0,83.0,41.0,1701.0,-1,-1,0,0,0,0.060539752005835154,0.029905178701677606,7.4997343638379155
384302,1420,1022,1352.0,55.0,13.0,1582.0,-1,-1,1,0,1,0.03873239436619718,0.009154929577464789,7.495598186641575
312728,1104,586,905.0,158.0,41.0,1584.0,1098,897,0,1,0,0.1431159420289855,0.03713768115942029,7.477035338485294
370653,1763,1494,1763.0,0.0,0.0,1763.0,82,1125,0,1,1,0.0,0.0,7.475339236566737
29196,1053,619,898.0,136.0,19.0,1401.0,1265,1136,1,1,1,0.1291547958214625,0.018043684710351376,7.428276150215617
234255,1235,939,1146.0,73.0,16.0,1445.0,-1,-1,1,0,1,0.05910931174089069,0.012955465587044534,7.419066524176199
111530,1342,853,1293.0,38.0,11.0,1462.0,1625,1141,1,1,1,0.028315946348733235,0.00819672131147541,7.410599095505966
119736,833,251,700.0,41.0,92.0,1283.0,57,314,1,1,1,0.04921968787515006,0.11044417767106843,7.392789505858549
441668,1313,983,1271.0,31.0,11.0,1419.0,1263,1637,1,1,1,0.02361005331302361,0.008377760853008377,7.378594938104826
48030,1114,626,978.0,95.0,41.0,1468.0,1219,121,0,1,1,0.08527827648114901,0.03680430879712747,7.3717806232115795
369447,1209,611,1098.0,80.0,31.0,1493.0,48,500,0,1,1,0.06617038875103391,0.02564102564102564,7.367938585709306
298009,1553,1264,1553.0,0.0,0.0,1553.0,529,623,0,1,0,0.0,0.0,7.348587530927593
37029,1169,739,1074.0,71.0,24.0,1407.0,1483,561,0,1,1,0.06073567151411463,0.020530367835757058,7.300823740310802
445351,1011,600,884.0,84.0,43.0,1351.0,-1,-1,0,0,0,0.0830860534124629,0.04253214638971316,7.293415429698855
9877,1026,399,940.0,63.0,23.0,1244.0,858,1426,1,1,1,0.06140350877192982,0.022417153996101363,7.2800097172808735
96924,1442,1202,1442.0,0.0,0.0,1442.0,-1,-1,0,0,1,0.0,0.0,7.274479558773871
409804,763,430,575.0,154.0,34.0,1207.0,1191,61,0,1,0,0.2018348623853211,0.04456094364351245,7.242199753330933
335975,1364,1103,1364.0,0.0,0.0,1364.0,-1,-1,0,0,1,0.0,0.0,7.21890970761906
441852,948,630,832.0,89.0,27.0,1234.0,-1,-1,0,0,1,0.0938818565400844,0.028481012658227847,7.194248189990348
17478,726,371,618.0,71.0,37.0,1016.0,1373,872,1,1,1,0.09779614325068871,0.05096418732782369,7.124474655001728
112782,1010,793,982.0,21.0,7.0,1080.0,-1,-1,1,0,1,0.020792079207920793,0.006930693069306931,7.102968550312474
315543,1030,514,974.0,43.0,13.0,1168.0,-1,-1,0,0,1,0.04174757281553398,0.01262135922330097,7.097399107103136
420960,852,350,758.0,57.0,37.0,1114.0,1529,805,0,1,0,0.06690140845070422,0.04342723004694836,7.093487618166519
190000,1000,693,943.0,40.0,17.0,1148.0,5,1637,0,1,0,0.04,0.017,7.083647277848756
65273,976,666,907.0,58.0,11.0,1136.0,-1,-1,0,0,0,0.05942622950819672,0.011270491803278689,7.077132100307914
133907,899,700,861.0,28.0,10.0,995.0,-1,-1,1,0,1,0.03114571746384872,0.011123470522803115,7.030443586839326
151444,1127,1011,1127.0,0.0,0.0,1127.0,-1,-1,0,0,0,0.0,0.0,7.028201432058005
161623,1003,712,970.0,27.0,6.0,1081.0,5,1637,0,1,1,0.026919242273180457,0.005982053838484547,7.006008134381501
316753,792,534,694.0,84.0,14.0,1016.0,-1,-1,0,0,0,0.10606060606060606,0.017676767676767676,6.99531946675563
241555,817,347,766.0,38.0,13.0,945.0,858,1426,1,1,1,0.046511627906976744,0.01591187270501836,6.9914102557103845
400946,885,601,853.0,26.0,6.0,961.0,1273,125,1,1,1,0.02937853107344633,0.006779661016949152,6.990483377219379
290999,941,691,897.0,32.0,12.0,1053.0,1192,955,0,1,0,0.03400637619553666,0.012752391073326248,6.990103308272403
354233,1008,852,983.0,24.0,1.0,1060.0,491,679,0,1,1,0.023809523809523808,0.000992063492063492,6.979863964010808
133814,873,728,841.0,27.0,5.0,947.0,1613,250,1,1,1,0.030927835051546393,0.0057273768613974796,6.975545796642192
455183,809,590,763.0,37.0,9.0,919.0,1051,955,1,1,1,0.04573547589616811,0.011124845488257108,6.958366253479427
12217,782,566,729.0,41.0,12.0,912.0,1375,805,1,1,1,0.052429667519181586,0.015345268542199489,6.958295982896757
350629,856,587,834.0,19.0,3.0,906.0,-1,-1,1,0,1,0.02219626168224299,0.0035046728971962616,6.9247452538534535
158666,725,556,661.0,57.0,7.0,867.0,491,679,1,1,1,0.07862068965517241,0.009655172413793104,6.91515723190173
231482,746,535,696.0,38.0,12.0,870.0,1051,955,1,1,1,0.05093833780160858,0.0160857908847185,6.911196936638025
142466,998,828,997.0,1.0,0.0,1000.0,-1,-1,0,0,1,0.001002004008016032,0.0,6.909255781319229
268883,625,310,552.0,47.0,26.0,823.0,-1,-1,1,0,1,0.0752,0.0416,6.893370529909472
303828,800,456,771.0,23.0,6.0,870.0,-1,-1,1,0,1,0.02875,0.0075,6.891516976852503
248455,632,280,545.0,50.0,37.0,880.0,-1,-1,0,0,1,0.07911392405063292,0.058544303797468354,6.879158891758965
179601,733,533,692.0,30.0,11.0,837.0,1192,955,1,1,1,0.040927694406548434,0.015006821282401092,6.866488768967757
315545,843,580,812.0,20.0,11.0,927.0,-1,-1,0,0,1,0.02372479240806643,0.013048635824436536,6.85794276481467
29100,947,644,947.0,0.0,0.0,947.0,-1,-1,0,0,0,0.0,0.0,6.854354502255021
355994,703,486,657.0,33.0,13.0,821.0,1051,955,1,1,1,0.04694167852062589,0.01849217638691323,6.853703410703406
91755,942,799,942.0,0.0,0.0,942.0,-1,-1,0,0,0,0.0,0.0,6.849066282633458
247909,764,586,735.0,25.0,4.0,830.0,-1,-1,1,0,1,0.032722513089005235,0.005235602094240838,6.844226653494192
339703,629,430,565.0,56.0,8.0,773.0,-1,-1,1,0,1,0.0890302066772655,0.012718600953895072,6.8088055778822545
341482,799,653,793.0,5.0,1.0,813.0,-1,-1,1,0,1,0.006257822277847309,0.0012515644555694619,6.806340841597033
